OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
263;"Toilet in parkeergarage (m/v)";0;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Parkeergarage (alleen voor parkeerders)";"";"PARKEER";"POINT(4.9142123,52.3780757)";"POINT(52.3780757,4.9142123)";4.9142123;52.3780757;
264;"Toilet in parkeergarage (m/v)";0;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Parkeergarage (alleen voor parkeerders)";"";"PARKEER";"POINT(4.9085967,52.3697964)";"POINT(52.3697964,4.9085967)";4.9085967;52.3697964;
265;"Toilet in parkeergarage (m/v)";0;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Amstel 1, Parkeergarage (alleen voor parkeerders)";"";"PARKEER";"POINT(4.9011132,52.367343)";"POINT(52.367343,4.9011132)";4.9011132;52.367343;
266;"Toilet in parkeergarage (m/v)";0;"";"24 uur per dag";"De Banne, Parkeergarage (alleen voor parkeerders)";"";"PARKEER";"POINT(4.916837,52.4078916)";"POINT(52.4078916,4.916837)";4.916837;52.4078916;
267;"Toilet in parkeergarage (m/v)";0;"";"";"Parkeergarage ";"";"PARKEER";"POINT(4.9414335,52.3103586)";"POINT(52.3103586,4.9414335)";4.9414335;52.3103586;
268;"Toilet in parkeergarage (m/v)";0;"";"";"Parkeergarage ";"";"PARKEER";"POINT(4.9456953,52.3117357)";"POINT(52.3117357,4.9456953)";4.9456953;52.3117357;
269;"Toilet in parkeergarage (m/v)";0;"";"";"Parkeergarage ";"";"PARKEER";"POINT(4.9384567,52.3118156)";"POINT(52.3118156,4.9384567)";4.9384567;52.3118156;
276;"Openbaar toilet (m/v)";0;"di - do - ma - vr - wo - za - zo";"24 uur per dag";"Fietsentstalling Paradiso";"IMG_8837.jpg";"OPENBAAR";"POINT(4.883717,52.3623685)";"POINT(52.3623685,4.883717)";4.883717;52.3623685;
277;"Urilift (m)";0;"";"do - za: 15.30 - 18.00 uur";"Weteringschans, Urilift";"IMG_8838.jpg";"URILIFT";"POINT(4.8837277,52.3623161)";"POINT(52.3623161,4.8837277)";4.8837277;52.3623161;
286;"Openbaar toilet (m/v)";0;"di - do - ma - vr - wo - za - zo";"Geopend overdag, van 1 maart tot 1 november. In maart, april, september en oktober alleen in de weekenden, van mei t/m augustus de hele week. Bij mooi weer ook &#096;s avonds geopend.";"";"";"OPENBAAR";"POINT(4.8272194,52.3201859)";"POINT(52.3201859,4.8272194)";4.8272194;52.3201859;
